Index,Value
0.0,78.00114892604864
1.0,78.01754486705335
2.0,78.03041951759892
3.0,78.05389700168384
4.0,78.05498856409329
5.0,78.06128650051039
6.0,78.07297571665451
7.0,78.07572702110487
8.0,78.10312429577827
9.0,78.19532495917439
10.0,78.21699216254285
11.0,78.24798468153479
12.0,78.29358615077948
13.0,78.31037773782894
14.0,78.32338667666893
15.0,78.36643735179744
16.0,78.40241270213993
17.0,78.42825322043083
18.0,78.43857774499605
19.0,78.44989061386187
20.0,78.4626930212675
21.0,78.46421576951693
22.0,78.48968832607179
23.0,78.49789847721165
24.0,78.55613145669301
25.0,78.57760256263542
26.0,78.58283194438111
27.0,78.60665488464163
28.0,78.62617700297315
29.0,78.63312746990975
30.0,78.67032755078185
31.0,78.67934296554813
32.0,78.68959990192593
33.0,78.71890893275074
34.0,78.72774894966093
35.0,78.75233454837552
36.0,78.7590923507127
37.0,78.76582983485494
38.0,78.77422105798973
39.0,78.79362582739924
40.0,78.79389370403885
41.0,78.80670501192175
42.0,78.82390060170192
43.0,78.83948477552882
44.0,78.8848230102933
45.0,78.88677709845417
46.0,78.89138310868759
47.0,78.89167294560123
48.0,78.9027424980255
49.0,78.96937493036916
50.0,79.01132531116134
51.0,79.05324172753647
52.0,79.0651008769845
53.0,79.09622193597383
54.0,79.12957722707735
55.0,79.19316538129732
56.0,79.22659598281749
57.0,79.23308948964717
58.0,79.24163032647003
59.0,79.32857445030322
60.0,79.33060937351853
61.0,79.33607033267504
62.0,79.37123222802717
63.0,79.39642074256278
64.0,79.40266798028792
65.0,79.45857578843113
66.0,79.46339351782554
67.0,79.52148637042912
68.0,79.53938722614771
69.0,79.60041475294364
70.0,79.61659669683903
71.0,79.89320183198993
72.0,79.94358730953932
73.0,79.9671496671148
74.0,79.97549888553637
75.0,80.01828347129234
76.0,80.09621981136868
77.0,80.21282662654359
78.0,80.21332341683095
79.0,80.2371697631175
80.0,80.24939598809956
81.0,80.27264460946012
82.0,80.28417695240599
83.0,80.28995614174043
84.0,80.29514871479361
85.0,80.32252857911051
86.0,80.3616079513528
87.0,80.36771068205428
88.0,80.3755469785167
89.0,80.388813771905
90.0,80.4630030882367
91.0,80.48289061585929
92.0,80.52989841862889
93.0,80.54094841420346
94.0,80.57699139537947
95.0,80.64064750653924
96.0,80.64218424103409
97.0,80.68487892912717
98.0,80.69430077844409
99.0,80.73774695960223
100.0,80.7761457372766
101.0,80.81526022270948
102.0,80.84610880502986
103.0,80.89821325144635
104.0,80.90444195275518
105.0,80.96807473259756
106.0,80.99903524194752
107.0,80.99931770732435
108.0,81.01727396117678
109.0,81.03662926899094
110.0,81.04530487973668
111.0,81.04812014418232
112.0,81.09233197934658
113.0,81.16884910397074
114.0,81.23021154343515
115.0,81.2610283618209
116.0,81.2813082506105
117.0,81.28361926715668
118.0,81.31794708427906
119.0,81.35041479989434
120.0,81.35318103568005
121.0,81.35347022808381
122.0,81.38965939289739
123.0,81.41195425109902
124.0,81.44434378130931
125.0,81.5180129369836
126.0,81.53066305627739
127.0,81.53205669451961
128.0,81.5586765759942
129.0,81.58522276544804
130.0,81.5914784093428
131.0,81.69278516685391
132.0,81.70798721300132
133.0,81.76260308546095
134.0,81.8159056261041
135.0,81.88709861504283
136.0,81.93014510627032
137.0,81.95879508218
138.0,81.98495774841398
139.0,82.0022924865975
140.0,82.0627968746069
141.0,82.06547052183387
142.0,82.17043729889559
143.0,82.29651711264901
144.0,82.30320142920507
145.0,82.41862132814175
146.0,82.48973181649833
147.0,82.49817300671013
148.0,82.53562393604342
149.0,82.55124532540249
150.0,82.59354411845156
151.0,82.60167511686058
152.0,82.60778854023313
153.0,82.64993839621744
154.0,82.66537170801273
155.0,82.74293983864628
156.0,82.83483211127385
157.0,82.85241732290129
158.0,82.9358823366445
159.0,83.05973225119584
160.0,83.05995818265545
161.0,83.0818635305167
162.0,83.14732224021519
163.0,83.23475284591308
164.0,83.23747314569084
165.0,83.23909487909822
166.0,83.25119417513321
167.0,83.30013050886407
168.0,83.33781915005842
169.0,83.34761848202845
170.0,83.3527475791862
171.0,83.39797615047294
172.0,83.46469051782597
173.0,83.47427233869207
174.0,83.8333865090745
175.0,83.83576829330691
176.0,83.87078941281911
177.0,83.89881554316341
178.0,83.997514974674
179.0,84.00466771343564
180.0,84.04948153014232
181.0,84.05539608198629
182.0,84.0881736758585
183.0,84.24730843029636
184.0,84.60589932082455
185.0,84.6684408041978
186.0,84.8505518207412
187.0,84.92875189961212
188.0,85.03551883020809
189.0,85.13832402605858
190.0,85.30914915284316
191.0,85.36074751265284
192.0,85.39105546163631
193.0,85.513871266688
194.0,85.5154457769064
195.0,85.52399670503526
196.0,85.53932724696311
197.0,85.74674538328487
198.0,85.80998362164163
199.0,85.8208749171445
200.0,85.8430177955326
201.0,85.90837359508406
202.0,86.45460369484087
203.0,86.45980593373808
204.0,86.52306342675661
205.0,86.53641285745483
206.0,86.5384212428419
207.0,86.63764942573343
208.0,86.66401516003879
209.0,86.70163328634833
210.0,86.80916707602664
211.0,86.85497591206484
212.0,86.88240308158757
213.0,86.90229451254586
214.0,87.30668525579208
215.0,87.34065051932524
216.0,87.36986595899998
217.0,87.46332196540044
218.0,87.80047934735529
219.0,87.90688607591296
220.0,88.00762973552445
221.0,88.09558449600503
222.0,88.1586074947672
223.0,88.17052557949393
224.0,88.25969516989541
225.0,88.61515857433535
226.0,88.89944503661002
227.0,89.3488027522377
228.0,89.50869986688033
229.0,89.75637414990835
